"Statistic Label","CensusYear","Sex","Age Group","Towns","UNIT","VALUE"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Portarlington, Counties Laois & Offaly","Number","46"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Portlaoise, Co Laois","Number","77"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mountmellick, Co Laois","Number","20"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Abbeyleix, Co Laois","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mountrath, Co Laois","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Edgeworthstown, Co Longford","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballymahon, Co Longford","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Longford, Co Longford","Number","34"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carlingford, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Clogherhead, Co Louth","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Termonfeckin, Co Louth","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Drogheda, Counties Louth & Meath","Number","143"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dunleer, Co Louth","Number","11"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dundalk, Co Louth","Number","127"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tullyallen, Co Louth","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ardee, Co Louth","Number","36"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","35"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Stamullen, Co Meath","Number","13"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ashbourne, Co Meath","Number","34"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Duleek, Co Meath","Number","15"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ratoath, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dunboyne, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dunshaughlin, Co Meath","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Navan, Co Meath","Number","106"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Trim, Co Meath","Number","28"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Enfield, Co Meath","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kells, Co Meath","Number","23"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Athboy, Co Meath","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Longwood, Co Meath","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballivor, Co Meath","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Edenderry, Co Offaly","Number","26"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tullamore, Co Offaly","Number","65"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Clara, Co Offaly","Number","15"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Birr, Co Offaly","Number","25"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Banagher, Co Offaly","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kinnegad, Co Westmeath","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Killucan-Rathwire, Co Westmeath","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mullingar, Co Westmeath","Number","73"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kilbeggan, Co Westmeath","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Moate, Co Westmeath","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Athlone, Counties Westmeath & Roscommon","Number","83"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Courtown, Co Wexford","Number","19"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Gorey, Co Wexford","Number","40"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Rosslare Harbour, Co Wexford","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Rosslare, Co Wexford","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castlebridge, Co Wexford","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Wexford, Co Wexford","Number","103"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Enniscorthy, Co Wexford","Number","48"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bunclody, Counties Wexford & Carlow","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","New Ross, Wexford & Kilkenny","Number","47"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Wicklow, Co Wicklow","Number","34"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kilcoole, Co Wicklow","Number","13"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Greystones-Delgany, Co Wicklow","Number","44"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Rathnew, Co Wicklow","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Newtownmountkennedy, Co Wicklow","Number","13"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ashford, Co Wicklow","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bray, Counties Wicklow & Dublin","Number","113"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Arklow, Co Wicklow","Number","56"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Enniskerry, Co Wicklow","Number","11"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Rathdrum, Co Wicklow","Number","11"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Blessington, Counties Wicklow & Kildare","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Baltinglass, Co Wicklow","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Killaloe, Co Clare","Number","15"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Sixmilebridge, Co Clare","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Shannon, Co Clare","Number","28"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Newmarket-On-Fergus, Co Clare","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ennis, Co Clare","Number","97"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kilrush, Co Clare","Number","16"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cork city and suburbs, Co Cork","Number","750"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Blarney, Co Cork","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tower, Co Cork","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Youghal, Co Cork","Number","40"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castlemartyr, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cloyne, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Midleton, Co Cork","Number","31"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mitchelstown, Co Cork","Number","18"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carrigtwohill, Co Cork","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Fermoy, Co Cork","Number","31"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Rathcormac, Co Cork","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Crosshaven, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cobh, Co Cork","Number","54"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Passage West-Monkstown, Co Cork","Number","25"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Watergrasshill, Co Cork","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carrigaline, Co Cork","Number","46"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kinsale, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mallow, Co Cork","Number","50"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Charleville, Co Cork","Number","19"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bandon, Co Cork","Number","30"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Clonakilty, Co Cork","Number","19"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kanturk, Co Cork","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Macroom, Co Cork","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Millstreet, Co Cork","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dunmanway, Co Cork","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Skibbereen, Co Cork","Number","13"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bantry, Co Cork","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castleisland, Co Kerry","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Listowel, Co Kerry","Number","26"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Killarney, Co Kerry","Number","59"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kenmare, Co Kerry","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballybunion, Co Kerry","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tralee, Co Kerry","Number","82"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Killorglin, Co Kerry","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dingle-Daingean Uí Chuis, Co Kerry","Number","1"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Limerick city and suburbs, Counties Limerick & Clare","Number","331"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Caherconlish, Co Limerick","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castleconnell, Co Limerick","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Annacotty, Co Limerick","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kilmallock, Co Limerick","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Newcastle West, Co Limerick","Number","22"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Abbeyfeale, Co Limerick","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Roscrea, Co Tipperary","Number","28"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Thurles, Co Tipperary","Number","27"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Templemore, Co Tipperary","Number","11"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Nenagh, Co Tipperary","Number","37"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Newport, Co Tipperary","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballina, Co Tipperary","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carrick-on-Suir, Co Tipperary","Number","39"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Fethard, Co Tipperary","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Clonmel, Counties Tipperary & Waterford","Number","75"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cashel, Co Tipperary","Number","23"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cahir, Co Tipperary","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tipperary, Co Tipperary","Number","27"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Waterford city and suburbs, Counties Waterford & Kilkenny","Number","203"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dunmore East, Co Waterford","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tramore, Co Waterford","Number","22"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Portlaw, Co Waterford","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Dungarvan, Co Waterford","Number","49"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Galway city and suburbs, Co Galway","Number","216"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballinasloe, Co Galway","Number","22"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Portumna, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Loughrea, Co Galway","Number","20"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Athenry, Co Galway","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Gort, Co Galway","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tuam, Co Galway","Number","44"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Oranmore, Co Galway","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Baile Chláir, Co Galway","Number","0"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bearna, Co Galway","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Maigh Cuilinn, Co Galway","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Oughterard, Co Galway","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carrick-On-Shannon, Counties Leitrim & Roscommon","Number","18"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Manorhamilton, Co Leitrim","Number","5"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballyhaunis, Co Mayo","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Claremorris, Co Mayo","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballina, Co Mayo","Number","57"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballinrobe, Co Mayo","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castlebar, Co Mayo","Number","37"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Westport, Co Mayo","Number","19"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Roscommon, Co Roscommon","Number","20"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Boyle, Co Roscommon","Number","14"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castlerea, Co Roscommon","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballaghaderreen, Co Roscommon","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Sligo, Co Sligo","Number","95"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Collooney, Co Sligo","Number","2"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballysadare, Co Sligo","Number","3"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballymote, Co Sligo","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Strandhill, Co Sligo","Number","2"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Tubbercurry, Co Sligo","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Kingscourt, Co Cavan","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Mullagh, Co Cavan","Number","6"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bailieborough, Co Cavan","Number","15"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Virginia, Co Cavan","Number","4"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cootehill, Co Cavan","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballyjamesduff, Co Cavan","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Cavan, Co Cavan","Number","49"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Belturbet, Co Cavan","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carndonagh, Co Donegal","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Buncrana, Co Donegal","Number","21"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Lifford, Co Donegal","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Convoy, Co Donegal","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Letterkenny, Co Donegal","Number","80"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballybofey-Stranorlar, Co Donegal","Number","26"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Donegal, Co Donegal","Number","10"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Ballyshannon, Co Donegal","Number","9"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Bundoran, Co Donegal","Number","7"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Carrickmacross, Co Monaghan","Number","23"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Castleblayney, Co Monaghan","Number","8"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Monaghan, Co Monaghan","Number","23"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Clones, Co Monaghan","Number","12"
"Population with a disability to a great extent","2022","Male","55 - 59 years","State","Number","14868"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Other towns with a population between 1,000 - 1,499","Number","415"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Other towns with a population under 500","Number","436"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Other towns with a population between 500 - 999","Number","381"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Remainder of country","Number","4076"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Tullow, Co Carlow","Number","27"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Carlow, Counties Carlow & Laois","Number","92"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Muinebeag (Bagenalstown), Co Carlow","Number","19"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Dublin city and suburbs, Counties Dublin & Meath","Number","3435"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Saggart, Co Dublin","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rathcoole, Co Dublin","Number","12"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Newcastle, Co Dublin","Number","6"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rush, Co Dublin","Number","23"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Skerries, Co Dublin","Number","35"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Portmarnock, Co Dublin","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Donabate, Co Dublin","Number","12"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Malahide, Co Dublin","Number","25"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Lusk, Co Dublin","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Balrothery, Co Dublin","Number","0"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Balbriggan, Co Dublin","Number","69"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kinsealy-Drinan, Co Dublin","Number","20"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Swords, Co Dublin","Number","95"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Leixlip, Co Kildare","Number","40"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Celbridge, Co Kildare","Number","68"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kill, Co Kildare","Number","9"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Maynooth, Co Kildare","Number","28"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Naas, Co Kildare","Number","65"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Sallins, Co Kildare","Number","17"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilcock, Counties Kildare & Meath","Number","11"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Clane, Co Kildare","Number","18"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilcullen, Co Kildare","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Prosperous, Co Kildare","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Newbridge, Co Kildare","Number","81"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Castledermot, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Allenwood, Co Kildare","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kildare, Co Kildare","Number","36"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Derrinturn, Co Kildare","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Athy, Co Kildare","Number","48"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rathangan, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Monasterevin, Co Kildare","Number","16"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Thomastown, Co Kilkenny","Number","11"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilkenny, Co Kilkenny","Number","113"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Callan, Co Kilkenny","Number","9"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Portarlington, Counties Laois & Offaly","Number","36"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Portlaoise, Co Laois","Number","73"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Mountmellick, Co Laois","Number","21"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Abbeyleix, Co Laois","Number","4"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Mountrath, Co Laois","Number","17"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Edgeworthstown, Co Longford","Number","10"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ballymahon, Co Longford","Number","6"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Longford, Co Longford","Number","45"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","6"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Carlingford, Co Louth","Number","9"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Clogherhead, Co Louth","Number","3"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Termonfeckin, Co Louth","Number","6"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Drogheda, Counties Louth & Meath","Number","151"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Dunleer, Co Louth","Number","12"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Dundalk, Co Louth","Number","156"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Tullyallen, Co Louth","Number","2"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ardee, Co Louth","Number","25"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","46"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Stamullen, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ashbourne, Co Meath","Number","20"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Duleek, Co Meath","Number","15"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ratoath, Co Meath","Number","17"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Dunboyne, Co Meath","Number","15"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Dunshaughlin, Co Meath","Number","15"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Navan, Co Meath","Number","85"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Trim, Co Meath","Number","25"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Enfield, Co Meath","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kells, Co Meath","Number","28"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Athboy, Co Meath","Number","4"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Longwood, Co Meath","Number","2"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ballivor, Co Meath","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Edenderry, Co Offaly","Number","35"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Tullamore, Co Offaly","Number","51"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Clara, Co Offaly","Number","17"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Birr, Co Offaly","Number","22"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Banagher, Co Offaly","Number","9"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kinnegad, Co Westmeath","Number","10"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Killucan-Rathwire, Co Westmeath","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Mullingar, Co Westmeath","Number","88"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilbeggan, Co Westmeath","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Moate, Co Westmeath","Number","13"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Athlone, Counties Westmeath & Roscommon","Number","67"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Courtown, Co Wexford","Number","25"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Gorey, Co Wexford","Number","26"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rosslare Harbour, Co Wexford","Number","16"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rosslare, Co Wexford","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Castlebridge, Co Wexford","Number","15"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Wexford, Co Wexford","Number","95"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Enniscorthy, Co Wexford","Number","70"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Bunclody, Counties Wexford & Carlow","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","New Ross, Wexford & Kilkenny","Number","41"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Wicklow, Co Wicklow","Number","28"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilcoole, Co Wicklow","Number","11"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Greystones-Delgany, Co Wicklow","Number","39"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rathnew, Co Wicklow","Number","14"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Newtownmountkennedy, Co Wicklow","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ashford, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Bray, Counties Wicklow & Dublin","Number","93"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Arklow, Co Wicklow","Number","70"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Enniskerry, Co Wicklow","Number","3"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Rathdrum, Co Wicklow","Number","8"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Blessington, Counties Wicklow & Kildare","Number","10"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Baltinglass, Co Wicklow","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Killaloe, Co Clare","Number","5"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Sixmilebridge, Co Clare","Number","9"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Shannon, Co Clare","Number","45"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Newmarket-On-Fergus, Co Clare","Number","7"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Ennis, Co Clare","Number","88"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Kilrush, Co Clare","Number","14"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Cork city and suburbs, Co Cork","Number","830"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Blarney, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Tower, Co Cork","Number","10"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Youghal, Co Cork","Number","42"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Castlemartyr, Co Cork","Number","2"
