"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Donegal County Council","Number","1337"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Monaghan County Council","Number","443"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Ireland","Number","33535"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Carlow County Council","Number","458"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Dublin City Council","Number","3779"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","1573"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Fingal County Council","Number","1879"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","South Dublin County Council","Number","1974"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Kildare County Council","Number","1488"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Kilkenny County Council","Number","677"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Laois County Council","Number","607"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Longford County Council","Number","315"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Louth County Council","Number","928"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Meath County Council","Number","1167"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Offaly County Council","Number","541"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Westmeath County Council","Number","622"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Wexford County Council","Number","1223"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Wicklow County Council","Number","1044"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Clare County Council","Number","763"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Cork City Council","Number","1753"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Cork County Council","Number","2268"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Kerry County Council","Number","1011"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Limerick City & County Council","Number","1452"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Tipperary County Council","Number","1198"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Waterford City & County Council","Number","863"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Galway City Council","Number","545"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Galway County Council","Number","1197"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Leitrim County Council","Number","252"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Mayo  County Council","Number","971"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Roscommon County Council","Number","492"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Sligo County Council","Number","516"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Cavan County Council","Number","442"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Donegal County Council","Number","1192"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Female","Monaghan County Council","Number","345"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Ireland","Number","118433"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Carlow County Council","Number","1591"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Dublin City Council","Number","13837"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","4343"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Fingal County Council","Number","5234"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","South Dublin County Council","Number","6149"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Kildare County Council","Number","4611"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Kilkenny County Council","Number","2522"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Laois County Council","Number","2122"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Longford County Council","Number","1237"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Louth County Council","Number","3461"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Meath County Council","Number","3974"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Offaly County Council","Number","2166"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Westmeath County Council","Number","2172"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Wexford County Council","Number","4288"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Wicklow County Council","Number","3368"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Clare County Council","Number","3133"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Cork City Council","Number","5739"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Cork County Council","Number","7889"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Kerry County Council","Number","3841"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Limerick City & County Council","Number","5629"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Tipperary County Council","Number","4787"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Waterford City & County Council","Number","3191"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Galway City Council","Number","1741"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Galway County Council","Number","4640"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Leitrim County Council","Number","999"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Mayo  County Council","Number","3769"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Roscommon County Council","Number","1942"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Sligo County Council","Number","1871"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Cavan County Council","Number","1859"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Donegal County Council","Number","4789"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Both sexes","Monaghan County Council","Number","1539"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Ireland","Number","51378"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Carlow County Council","Number","662"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Dublin City Council","Number","5925"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","1744"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Fingal County Council","Number","2146"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","South Dublin County Council","Number","2612"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Kildare County Council","Number","2006"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Kilkenny County Council","Number","1134"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Laois County Council","Number","963"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Longford County Council","Number","514"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Louth County Council","Number","1521"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Meath County Council","Number","1772"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Offaly County Council","Number","971"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Westmeath County Council","Number","941"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Wexford County Council","Number","1923"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Wicklow County Council","Number","1451"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Clare County Council","Number","1351"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Cork City Council","Number","2417"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Cork County Council","Number","3458"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Kerry County Council","Number","1690"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Limerick City & County Council","Number","2504"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Tipperary County Council","Number","2140"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Waterford City & County Council","Number","1402"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Galway City Council","Number","738"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Galway County Council","Number","2054"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Leitrim County Council","Number","431"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Mayo  County Council","Number","1588"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Roscommon County Council","Number","868"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Sligo County Council","Number","808"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Cavan County Council","Number","855"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Donegal County Council","Number","2106"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Male","Monaghan County Council","Number","683"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Ireland","Number","67055"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Carlow County Council","Number","929"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Dublin City Council","Number","7912"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","2599"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Fingal County Council","Number","3088"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","South Dublin County Council","Number","3537"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Kildare County Council","Number","2605"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Kilkenny County Council","Number","1388"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Laois County Council","Number","1159"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Longford County Council","Number","723"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Louth County Council","Number","1940"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Meath County Council","Number","2202"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Offaly County Council","Number","1195"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Westmeath County Council","Number","1231"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Wexford County Council","Number","2365"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Wicklow County Council","Number","1917"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Clare County Council","Number","1782"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Cork City Council","Number","3322"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Cork County Council","Number","4431"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Kerry County Council","Number","2151"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Limerick City & County Council","Number","3125"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Tipperary County Council","Number","2647"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Waterford City & County Council","Number","1789"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Galway City Council","Number","1003"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Galway County Council","Number","2586"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Leitrim County Council","Number","568"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Mayo  County Council","Number","2181"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Roscommon County Council","Number","1074"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Sligo County Council","Number","1063"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Cavan County Council","Number","1004"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Donegal County Council","Number","2683"
"A difficulty with basic physical activities such as walking,  climbing stairs,reaching,lifting or carrying to a greater extent","2022","Female","Monaghan County Council","Number","856"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Ireland","Number","144671"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Carlow County Council","Number","2063"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Dublin City Council","Number","17332"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","5196"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Fingal County Council","Number","7291"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","South Dublin County Council","Number","8575"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Kildare County Council","Number","6562"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Kilkenny County Council","Number","2891"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Laois County Council","Number","2660"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Longford County Council","Number","1354"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Louth County Council","Number","4096"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Meath County Council","Number","5391"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Offaly County Council","Number","2798"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Westmeath County Council","Number","2817"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Wexford County Council","Number","5539"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Wicklow County Council","Number","4624"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Clare County Council","Number","3489"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Cork City Council","Number","7055"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Cork County Council","Number","9309"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Kerry County Council","Number","4429"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Limerick City & County Council","Number","6504"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Tipperary County Council","Number","5414"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Waterford City & County Council","Number","3960"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Galway City Council","Number","2264"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Galway County Council","Number","5040"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Leitrim County Council","Number","1008"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Mayo  County Council","Number","4001"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Roscommon County Council","Number","2248"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Sligo County Council","Number","1974"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Cavan County Council","Number","2177"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Donegal County Council","Number","5215"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Both sexes","Monaghan County Council","Number","1395"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Ireland","Number","62928"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Carlow County Council","Number","939"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Dublin City Council","Number","7329"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","2069"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Fingal County Council","Number","2956"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","South Dublin County Council","Number","3559"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Kildare County Council","Number","2831"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Kilkenny County Council","Number","1296"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Laois County Council","Number","1165"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Longford County Council","Number","570"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Louth County Council","Number","1743"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Meath County Council","Number","2388"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Offaly County Council","Number","1238"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Westmeath County Council","Number","1219"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Wexford County Council","Number","2505"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Wicklow County Council","Number","1992"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Clare County Council","Number","1488"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Cork City Council","Number","2962"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Cork County Council","Number","4097"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Kerry County Council","Number","2005"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Limerick City & County Council","Number","2971"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Tipperary County Council","Number","2533"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Waterford City & County Council","Number","1745"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Galway City Council","Number","934"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Galway County Council","Number","2260"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Leitrim County Council","Number","438"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Mayo  County Council","Number","1729"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Roscommon County Council","Number","1019"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Sligo County Council","Number","882"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Cavan County Council","Number","1008"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Donegal County Council","Number","2412"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Male","Monaghan County Council","Number","646"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Ireland","Number","81743"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Carlow County Council","Number","1124"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Dublin City Council","Number","10003"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Dún Laoghaire Rathdown County Council","Number","3127"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Fingal County Council","Number","4335"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","South Dublin County Council","Number","5016"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Kildare County Council","Number","3731"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Kilkenny County Council","Number","1595"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Laois County Council","Number","1495"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Longford County Council","Number","784"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Louth County Council","Number","2353"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Meath County Council","Number","3003"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Offaly County Council","Number","1560"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Westmeath County Council","Number","1598"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Wexford County Council","Number","3034"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Wicklow County Council","Number","2632"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Clare County Council","Number","2001"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Cork City Council","Number","4093"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Cork County Council","Number","5212"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Kerry County Council","Number","2424"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Limerick City & County Council","Number","3533"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Tipperary County Council","Number","2881"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Waterford City & County Council","Number","2215"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Galway City Council","Number","1330"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Galway County Council","Number","2780"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Leitrim County Council","Number","570"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Mayo  County Council","Number","2272"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Roscommon County Council","Number","1229"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Sligo County Council","Number","1092"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Cavan County Council","Number","1169"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Donegal County Council","Number","2803"
"A difficulty with pain,breathing or any other chronic illness or condition to a greater extent","2022","Female","Monaghan County Council","Number","749"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Ireland","Number","83273"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Carlow County Council","Number","1099"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Dublin City Council","Number","10837"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","3315"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Fingal County Council","Number","4601"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","South Dublin County Council","Number","5119"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Kildare County Council","Number","3895"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Kilkenny County Council","Number","1548"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Laois County Council","Number","1699"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Longford County Council","Number","789"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Louth County Council","Number","2231"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Meath County Council","Number","3023"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Offaly County Council","Number","1527"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Westmeath County Council","Number","1595"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Wexford County Council","Number","3005"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Wicklow County Council","Number","2736"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Clare County Council","Number","1786"
"A psychological or emotional condition or a mental health issue to a greater extent","2022","Both sexes","Cork City Council","Number","4503"
