"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"An intellectual disability to greater extent","2022","Both sexes","12 years","Number","1218"
"An intellectual disability to greater extent","2022","Both sexes","13 years","Number","1242"
"An intellectual disability to greater extent","2022","Both sexes","14 years","Number","1137"
"An intellectual disability to greater extent","2022","Both sexes","15 years","Number","1084"
"An intellectual disability to greater extent","2022","Both sexes","16 years","Number","1009"
"An intellectual disability to greater extent","2022","Both sexes","17 years","Number","934"
"An intellectual disability to greater extent","2022","Both sexes","18 years","Number","953"
"An intellectual disability to greater extent","2022","Both sexes","19 years","Number","981"
"An intellectual disability to greater extent","2022","Both sexes","20 years","Number","863"
"An intellectual disability to greater extent","2022","Both sexes","21 years","Number","843"
"An intellectual disability to greater extent","2022","Both sexes","22 years","Number","762"
"An intellectual disability to greater extent","2022","Both sexes","23 years","Number","666"
"An intellectual disability to greater extent","2022","Both sexes","24 years","Number","667"
"An intellectual disability to greater extent","2022","Both sexes","25 years","Number","669"
"An intellectual disability to greater extent","2022","Both sexes","26 years","Number","602"
"An intellectual disability to greater extent","2022","Both sexes","27 years","Number","521"
"An intellectual disability to greater extent","2022","Both sexes","28 years","Number","534"
"An intellectual disability to greater extent","2022","Both sexes","29 years","Number","472"
"An intellectual disability to greater extent","2022","Both sexes","30 years","Number","469"
"An intellectual disability to greater extent","2022","Both sexes","31 years","Number","432"
"An intellectual disability to greater extent","2022","Both sexes","32 years","Number","405"
"An intellectual disability to greater extent","2022","Both sexes","33 years","Number","404"
"An intellectual disability to greater extent","2022","Both sexes","34 years","Number","391"
"An intellectual disability to greater extent","2022","Both sexes","35 years","Number","424"
"An intellectual disability to greater extent","2022","Both sexes","36 years","Number","374"
"An intellectual disability to greater extent","2022","Both sexes","37 years","Number","374"
"An intellectual disability to greater extent","2022","Both sexes","38 years","Number","425"
"An intellectual disability to greater extent","2022","Both sexes","39 years","Number","402"
"An intellectual disability to greater extent","2022","Both sexes","40 years","Number","436"
"An intellectual disability to greater extent","2022","Both sexes","41 years","Number","415"
"An intellectual disability to greater extent","2022","Both sexes","42 years","Number","440"
"An intellectual disability to greater extent","2022","Both sexes","43 years","Number","437"
"An intellectual disability to greater extent","2022","Both sexes","44 years","Number","435"
"An intellectual disability to greater extent","2022","Both sexes","45 years","Number","415"
"An intellectual disability to greater extent","2022","Both sexes","46 years","Number","441"
"An intellectual disability to greater extent","2022","Both sexes","47 years","Number","399"
"An intellectual disability to greater extent","2022","Both sexes","48 years","Number","453"
"An intellectual disability to greater extent","2022","Both sexes","49 years","Number","485"
"An intellectual disability to greater extent","2022","Both sexes","50 years","Number","442"
"An intellectual disability to greater extent","2022","Both sexes","51 years","Number","441"
"An intellectual disability to greater extent","2022","Both sexes","52 years","Number","482"
"An intellectual disability to greater extent","2022","Both sexes","53 years","Number","455"
"An intellectual disability to greater extent","2022","Both sexes","54 years","Number","470"
"An intellectual disability to greater extent","2022","Both sexes","55 years","Number","506"
"An intellectual disability to greater extent","2022","Both sexes","56 years","Number","487"
"An intellectual disability to greater extent","2022","Both sexes","57 years","Number","468"
"An intellectual disability to greater extent","2022","Both sexes","58 years","Number","456"
"An intellectual disability to greater extent","2022","Both sexes","59 years","Number","464"
"An intellectual disability to greater extent","2022","Both sexes","60 years","Number","468"
"An intellectual disability to greater extent","2022","Both sexes","61 years","Number","421"
"An intellectual disability to greater extent","2022","Both sexes","62 years","Number","427"
"An intellectual disability to greater extent","2022","Both sexes","63 years","Number","387"
"An intellectual disability to greater extent","2022","Both sexes","64 years","Number","361"
"An intellectual disability to greater extent","2022","Both sexes","65 years","Number","362"
"An intellectual disability to greater extent","2022","Both sexes","66 years","Number","354"
"An intellectual disability to greater extent","2022","Both sexes","67 years","Number","322"
"An intellectual disability to greater extent","2022","Both sexes","68 years","Number","318"
"An intellectual disability to greater extent","2022","Both sexes","69 years","Number","332"
"An intellectual disability to greater extent","2022","Both sexes","70 years","Number","324"
"An intellectual disability to greater extent","2022","Both sexes","71 years","Number","302"
"An intellectual disability to greater extent","2022","Both sexes","72 years","Number","321"
"An intellectual disability to greater extent","2022","Both sexes","73 years","Number","312"
"An intellectual disability to greater extent","2022","Both sexes","74 years","Number","310"
"An intellectual disability to greater extent","2022","Both sexes","75 years","Number","304"
"An intellectual disability to greater extent","2022","Both sexes","76 years","Number","291"
"An intellectual disability to greater extent","2022","Both sexes","77 years","Number","272"
"An intellectual disability to greater extent","2022","Both sexes","78 years","Number","276"
"An intellectual disability to greater extent","2022","Both sexes","79 years","Number","304"
"An intellectual disability to greater extent","2022","Both sexes","80 years","Number","258"
"An intellectual disability to greater extent","2022","Both sexes","81 years","Number","225"
"An intellectual disability to greater extent","2022","Both sexes","82 years","Number","280"
"An intellectual disability to greater extent","2022","Both sexes","83 years","Number","275"
"An intellectual disability to greater extent","2022","Both sexes","84 years","Number","223"
"An intellectual disability to greater extent","2022","Both sexes","85 years","Number","221"
"An intellectual disability to greater extent","2022","Both sexes","86 years","Number","213"
"An intellectual disability to greater extent","2022","Both sexes","87 years","Number","225"
"An intellectual disability to greater extent","2022","Both sexes","88 years","Number","194"
"An intellectual disability to greater extent","2022","Both sexes","89 years","Number","165"
"An intellectual disability to greater extent","2022","Both sexes","90 years","Number","175"
"An intellectual disability to greater extent","2022","Both sexes","91 years","Number","128"
"An intellectual disability to greater extent","2022","Both sexes","92 years","Number","111"
"An intellectual disability to greater extent","2022","Both sexes","93 years","Number","89"
"An intellectual disability to greater extent","2022","Both sexes","94 years","Number","82"
"An intellectual disability to greater extent","2022","Both sexes","95 years","Number","63"
"An intellectual disability to greater extent","2022","Both sexes","96 years","Number","49"
"An intellectual disability to greater extent","2022","Both sexes","97 years","Number","23"
"An intellectual disability to greater extent","2022","Both sexes","98 years","Number","21"
"An intellectual disability to greater extent","2022","Both sexes","99 years","Number","16"
"An intellectual disability to greater extent","2022","Both sexes","100 years and over","Number","35"
"An intellectual disability to greater extent","2022","Male","Under 1 year","Number","50"
"An intellectual disability to greater extent","2022","Male","1 year","Number","78"
"An intellectual disability to greater extent","2022","Male","2 years","Number","251"
"An intellectual disability to greater extent","2022","Male","3 years","Number","445"
"An intellectual disability to greater extent","2022","Male","4 years","Number","544"
"An intellectual disability to greater extent","2022","Male","5 years","Number","596"
"An intellectual disability to greater extent","2022","Male","6 years","Number","704"
"An intellectual disability to greater extent","2022","Male","7 years","Number","732"
"An intellectual disability to greater extent","2022","Male","8 years","Number","753"
"An intellectual disability to greater extent","2022","Male","9 years","Number","753"
"An intellectual disability to greater extent","2022","Male","10 years","Number","800"
"An intellectual disability to greater extent","2022","Male","11 years","Number","823"
"An intellectual disability to greater extent","2022","Male","12 years","Number","816"
"An intellectual disability to greater extent","2022","Male","13 years","Number","838"
"An intellectual disability to greater extent","2022","Male","14 years","Number","764"
"An intellectual disability to greater extent","2022","Male","15 years","Number","704"
"An intellectual disability to greater extent","2022","Male","16 years","Number","652"
"An intellectual disability to greater extent","2022","Male","17 years","Number","596"
"An intellectual disability to greater extent","2022","Male","18 years","Number","610"
"An intellectual disability to greater extent","2022","Male","19 years","Number","613"
"An intellectual disability to greater extent","2022","Male","20 years","Number","547"
"An intellectual disability to greater extent","2022","Male","21 years","Number","526"
"An intellectual disability to greater extent","2022","Male","22 years","Number","459"
"An intellectual disability to greater extent","2022","Male","23 years","Number","398"
"An intellectual disability to greater extent","2022","Male","24 years","Number","405"
"An intellectual disability to greater extent","2022","Male","25 years","Number","422"
"An intellectual disability to greater extent","2022","Male","26 years","Number","386"
"An intellectual disability to greater extent","2022","Male","27 years","Number","313"
"An intellectual disability to greater extent","2022","Male","28 years","Number","318"
"An intellectual disability to greater extent","2022","Male","29 years","Number","308"
"An intellectual disability to greater extent","2022","Male","30 years","Number","273"
"An intellectual disability to greater extent","2022","Male","31 years","Number","257"
"An intellectual disability to greater extent","2022","Male","32 years","Number","251"
"An intellectual disability to greater extent","2022","Male","33 years","Number","236"
"An intellectual disability to greater extent","2022","Male","34 years","Number","240"
"An intellectual disability to greater extent","2022","Male","35 years","Number","269"
"An intellectual disability to greater extent","2022","Male","36 years","Number","214"
"An intellectual disability to greater extent","2022","Male","37 years","Number","217"
"An intellectual disability to greater extent","2022","Male","38 years","Number","253"
"An intellectual disability to greater extent","2022","Male","39 years","Number","220"
"An intellectual disability to greater extent","2022","Male","40 years","Number","252"
"An intellectual disability to greater extent","2022","Male","41 years","Number","247"
"An intellectual disability to greater extent","2022","Male","42 years","Number","262"
"An intellectual disability to greater extent","2022","Male","43 years","Number","255"
"An intellectual disability to greater extent","2022","Male","44 years","Number","260"
"An intellectual disability to greater extent","2022","Male","45 years","Number","235"
"An intellectual disability to greater extent","2022","Male","46 years","Number","262"
"An intellectual disability to greater extent","2022","Male","47 years","Number","223"
"An intellectual disability to greater extent","2022","Male","48 years","Number","249"
"An intellectual disability to greater extent","2022","Male","49 years","Number","288"
"An intellectual disability to greater extent","2022","Male","50 years","Number","252"
"An intellectual disability to greater extent","2022","Male","51 years","Number","257"
"An intellectual disability to greater extent","2022","Male","52 years","Number","267"
"An intellectual disability to greater extent","2022","Male","53 years","Number","269"
"An intellectual disability to greater extent","2022","Male","54 years","Number","251"
"An intellectual disability to greater extent","2022","Male","55 years","Number","278"
"An intellectual disability to greater extent","2022","Male","56 years","Number","280"
"An intellectual disability to greater extent","2022","Male","57 years","Number","245"
"An intellectual disability to greater extent","2022","Male","58 years","Number","252"
"An intellectual disability to greater extent","2022","Male","59 years","Number","267"
"An intellectual disability to greater extent","2022","Male","60 years","Number","251"
"An intellectual disability to greater extent","2022","Male","61 years","Number","229"
"An intellectual disability to greater extent","2022","Male","62 years","Number","247"
"An intellectual disability to greater extent","2022","Male","63 years","Number","220"
"An intellectual disability to greater extent","2022","Male","64 years","Number","203"
"An intellectual disability to greater extent","2022","Male","65 years","Number","191"
"An intellectual disability to greater extent","2022","Male","66 years","Number","171"
"An intellectual disability to greater extent","2022","Male","67 years","Number","194"
"An intellectual disability to greater extent","2022","Male","68 years","Number","162"
"An intellectual disability to greater extent","2022","Male","69 years","Number","195"
"An intellectual disability to greater extent","2022","Male","70 years","Number","154"
"An intellectual disability to greater extent","2022","Male","71 years","Number","166"
"An intellectual disability to greater extent","2022","Male","72 years","Number","169"
"An intellectual disability to greater extent","2022","Male","73 years","Number","136"
"An intellectual disability to greater extent","2022","Male","74 years","Number","147"
"An intellectual disability to greater extent","2022","Male","75 years","Number","145"
"An intellectual disability to greater extent","2022","Male","76 years","Number","138"
"An intellectual disability to greater extent","2022","Male","77 years","Number","122"
"An intellectual disability to greater extent","2022","Male","78 years","Number","125"
"An intellectual disability to greater extent","2022","Male","79 years","Number","136"
"An intellectual disability to greater extent","2022","Male","80 years","Number","122"
"An intellectual disability to greater extent","2022","Male","81 years","Number","102"
"An intellectual disability to greater extent","2022","Male","82 years","Number","120"
"An intellectual disability to greater extent","2022","Male","83 years","Number","109"
"An intellectual disability to greater extent","2022","Male","84 years","Number","86"
"An intellectual disability to greater extent","2022","Male","85 years","Number","75"
"An intellectual disability to greater extent","2022","Male","86 years","Number","86"
"An intellectual disability to greater extent","2022","Male","87 years","Number","71"
"An intellectual disability to greater extent","2022","Male","88 years","Number","71"
"An intellectual disability to greater extent","2022","Male","89 years","Number","52"
"An intellectual disability to greater extent","2022","Male","90 years","Number","59"
"An intellectual disability to greater extent","2022","Male","91 years","Number","34"
"An intellectual disability to greater extent","2022","Male","92 years","Number","27"
"An intellectual disability to greater extent","2022","Male","93 years","Number","21"
"An intellectual disability to greater extent","2022","Male","94 years","Number","18"
"An intellectual disability to greater extent","2022","Male","95 years","Number","16"
"An intellectual disability to greater extent","2022","Male","96 years","Number","13"
"An intellectual disability to greater extent","2022","Male","97 years","Number","6"
"An intellectual disability to greater extent","2022","Male","98 years","Number","4"
"An intellectual disability to greater extent","2022","Male","99 years","Number","4"
"An intellectual disability to greater extent","2022","Male","100 years and over","Number","2"
"An intellectual disability to greater extent","2022","Female","Under 1 year","Number","45"
"An intellectual disability to greater extent","2022","Female","1 year","Number","65"
"An intellectual disability to greater extent","2022","Female","2 years","Number","117"
"An intellectual disability to greater extent","2022","Female","3 years","Number","212"
"An intellectual disability to greater extent","2022","Female","4 years","Number","227"
"An intellectual disability to greater extent","2022","Female","5 years","Number","266"
"An intellectual disability to greater extent","2022","Female","6 years","Number","287"
"An intellectual disability to greater extent","2022","Female","7 years","Number","330"
"An intellectual disability to greater extent","2022","Female","8 years","Number","327"
"An intellectual disability to greater extent","2022","Female","9 years","Number","363"
"An intellectual disability to greater extent","2022","Female","10 years","Number","376"
"An intellectual disability to greater extent","2022","Female","11 years","Number","398"
"An intellectual disability to greater extent","2022","Female","12 years","Number","402"
"An intellectual disability to greater extent","2022","Female","13 years","Number","404"
"An intellectual disability to greater extent","2022","Female","14 years","Number","373"
"An intellectual disability to greater extent","2022","Female","15 years","Number","380"
"An intellectual disability to greater extent","2022","Female","16 years","Number","357"
"An intellectual disability to greater extent","2022","Female","17 years","Number","338"
"An intellectual disability to greater extent","2022","Female","18 years","Number","343"
"An intellectual disability to greater extent","2022","Female","19 years","Number","368"
"An intellectual disability to greater extent","2022","Female","20 years","Number","316"
"An intellectual disability to greater extent","2022","Female","21 years","Number","317"
"An intellectual disability to greater extent","2022","Female","22 years","Number","303"
"An intellectual disability to greater extent","2022","Female","23 years","Number","268"
"An intellectual disability to greater extent","2022","Female","24 years","Number","262"
"An intellectual disability to greater extent","2022","Female","25 years","Number","247"
"An intellectual disability to greater extent","2022","Female","26 years","Number","216"
"An intellectual disability to greater extent","2022","Female","27 years","Number","208"
"An intellectual disability to greater extent","2022","Female","28 years","Number","216"
"An intellectual disability to greater extent","2022","Female","29 years","Number","164"
"An intellectual disability to greater extent","2022","Female","30 years","Number","196"
"An intellectual disability to greater extent","2022","Female","31 years","Number","175"
"An intellectual disability to greater extent","2022","Female","32 years","Number","154"
"An intellectual disability to greater extent","2022","Female","33 years","Number","168"
"An intellectual disability to greater extent","2022","Female","34 years","Number","151"
"An intellectual disability to greater extent","2022","Female","35 years","Number","155"
"An intellectual disability to greater extent","2022","Female","36 years","Number","160"
"An intellectual disability to greater extent","2022","Female","37 years","Number","157"
"An intellectual disability to greater extent","2022","Female","38 years","Number","172"
"An intellectual disability to greater extent","2022","Female","39 years","Number","182"
"An intellectual disability to greater extent","2022","Female","40 years","Number","184"
"An intellectual disability to greater extent","2022","Female","41 years","Number","168"
"An intellectual disability to greater extent","2022","Female","42 years","Number","178"
"An intellectual disability to greater extent","2022","Female","43 years","Number","182"
"An intellectual disability to greater extent","2022","Female","44 years","Number","175"
"An intellectual disability to greater extent","2022","Female","45 years","Number","180"
"An intellectual disability to greater extent","2022","Female","46 years","Number","179"
"An intellectual disability to greater extent","2022","Female","47 years","Number","176"
"An intellectual disability to greater extent","2022","Female","48 years","Number","204"
"An intellectual disability to greater extent","2022","Female","49 years","Number","197"
"An intellectual disability to greater extent","2022","Female","50 years","Number","190"
"An intellectual disability to greater extent","2022","Female","51 years","Number","184"
"An intellectual disability to greater extent","2022","Female","52 years","Number","215"
"An intellectual disability to greater extent","2022","Female","53 years","Number","186"
"An intellectual disability to greater extent","2022","Female","54 years","Number","219"
"An intellectual disability to greater extent","2022","Female","55 years","Number","228"
"An intellectual disability to greater extent","2022","Female","56 years","Number","207"
"An intellectual disability to greater extent","2022","Female","57 years","Number","223"
"An intellectual disability to greater extent","2022","Female","58 years","Number","204"
"An intellectual disability to greater extent","2022","Female","59 years","Number","197"
"An intellectual disability to greater extent","2022","Female","60 years","Number","217"
"An intellectual disability to greater extent","2022","Female","61 years","Number","192"
"An intellectual disability to greater extent","2022","Female","62 years","Number","180"
"An intellectual disability to greater extent","2022","Female","63 years","Number","167"
"An intellectual disability to greater extent","2022","Female","64 years","Number","158"
"An intellectual disability to greater extent","2022","Female","65 years","Number","171"
"An intellectual disability to greater extent","2022","Female","66 years","Number","183"
"An intellectual disability to greater extent","2022","Female","67 years","Number","128"
"An intellectual disability to greater extent","2022","Female","68 years","Number","156"
"An intellectual disability to greater extent","2022","Female","69 years","Number","137"
"An intellectual disability to greater extent","2022","Female","70 years","Number","170"
"An intellectual disability to greater extent","2022","Female","71 years","Number","136"
"An intellectual disability to greater extent","2022","Female","72 years","Number","152"
"An intellectual disability to greater extent","2022","Female","73 years","Number","176"
"An intellectual disability to greater extent","2022","Female","74 years","Number","163"
"An intellectual disability to greater extent","2022","Female","75 years","Number","159"
"An intellectual disability to greater extent","2022","Female","76 years","Number","153"
"An intellectual disability to greater extent","2022","Female","77 years","Number","150"
"An intellectual disability to greater extent","2022","Female","78 years","Number","151"
"An intellectual disability to greater extent","2022","Female","79 years","Number","168"
"An intellectual disability to greater extent","2022","Female","80 years","Number","136"
"An intellectual disability to greater extent","2022","Female","81 years","Number","123"
"An intellectual disability to greater extent","2022","Female","82 years","Number","160"
"An intellectual disability to greater extent","2022","Female","83 years","Number","166"
"An intellectual disability to greater extent","2022","Female","84 years","Number","137"
"An intellectual disability to greater extent","2022","Female","85 years","Number","146"
"An intellectual disability to greater extent","2022","Female","86 years","Number","127"
"An intellectual disability to greater extent","2022","Female","87 years","Number","154"
"An intellectual disability to greater extent","2022","Female","88 years","Number","123"
"An intellectual disability to greater extent","2022","Female","89 years","Number","113"
"An intellectual disability to greater extent","2022","Female","90 years","Number","116"
"An intellectual disability to greater extent","2022","Female","91 years","Number","94"
"An intellectual disability to greater extent","2022","Female","92 years","Number","84"
"An intellectual disability to greater extent","2022","Female","93 years","Number","68"
"An intellectual disability to greater extent","2022","Female","94 years","Number","64"
"An intellectual disability to greater extent","2022","Female","95 years","Number","47"
"An intellectual disability to greater extent","2022","Female","96 years","Number","36"
"An intellectual disability to greater extent","2022","Female","97 years","Number","17"
"An intellectual disability to greater extent","2022","Female","98 years","Number","17"
"An intellectual disability to greater extent","2022","Female","99 years","Number","12"
"An intellectual disability to greater extent","2022","Female","100 years and over","Number","33"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","Under 1 year","Number","70"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","1 year","Number","111"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","2 years","Number","379"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","3 years","Number","677"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","4 years","Number","778"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","5 years","Number","957"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","6 years","Number","1124"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","7 years","Number","1221"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","8 years","Number","1452"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","9 years","Number","1514"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","10 years","Number","1657"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","11 years","Number","1729"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","12 years","Number","1723"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","13 years","Number","1750"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","14 years","Number","1669"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","15 years","Number","1574"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","16 years","Number","1409"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","17 years","Number","1379"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","18 years","Number","1399"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","19 years","Number","1265"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","20 years","Number","1127"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","21 years","Number","1003"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","22 years","Number","978"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","23 years","Number","845"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","24 years","Number","776"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","25 years","Number","678"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","26 years","Number","715"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","27 years","Number","591"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","28 years","Number","586"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","29 years","Number","531"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","30 years","Number","547"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","31 years","Number","473"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","32 years","Number","460"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","33 years","Number","412"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","34 years","Number","429"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","35 years","Number","453"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","36 years","Number","406"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","37 years","Number","423"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","38 years","Number","430"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","39 years","Number","468"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","40 years","Number","484"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","41 years","Number","446"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","42 years","Number","466"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","43 years","Number","479"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","44 years","Number","455"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","45 years","Number","468"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","46 years","Number","472"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","47 years","Number","495"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","48 years","Number","516"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","49 years","Number","524"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","50 years","Number","550"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","51 years","Number","528"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","52 years","Number","531"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","53 years","Number","529"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","54 years","Number","503"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","55 years","Number","520"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","56 years","Number","553"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","57 years","Number","556"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","58 years","Number","559"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","59 years","Number","563"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","60 years","Number","593"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","61 years","Number","551"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","62 years","Number","545"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","63 years","Number","514"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","64 years","Number","448"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","65 years","Number","545"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","66 years","Number","467"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","67 years","Number","485"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","68 years","Number","496"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","69 years","Number","547"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","70 years","Number","523"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","71 years","Number","548"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","72 years","Number","618"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","73 years","Number","618"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","74 years","Number","690"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","75 years","Number","730"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","76 years","Number","774"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","77 years","Number","750"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","78 years","Number","845"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","79 years","Number","907"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","80 years","Number","880"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","81 years","Number","927"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","82 years","Number","1023"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","83 years","Number","1046"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","84 years","Number","979"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","85 years","Number","941"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","86 years","Number","999"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","87 years","Number","973"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","88 years","Number","886"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","89 years","Number","834"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","90 years","Number","797"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","91 years","Number","666"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","92 years","Number","541"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","93 years","Number","412"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","94 years","Number","392"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","95 years","Number","283"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","96 years","Number","217"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","97 years","Number","172"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","98 years","Number","113"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","99 years","Number","97"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Both sexes","100 years and over","Number","150"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","Under 1 year","Number","44"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","1 year","Number","63"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","2 years","Number","245"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","3 years","Number","468"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","4 years","Number","554"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","5 years","Number","676"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","6 years","Number","818"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","7 years","Number","847"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","8 years","Number","1030"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","9 years","Number","1024"
"A difficulty with learning,remembering or concentrating to a greater extent","2022","Male","10 years","Number","1122"
