"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Intermediate Occupational Group","UNIT","VALUE"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Caring personal service occupations","Number","246"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Leisure, travel and related personal service occupations","Number","108"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Sales occupations","Number","257"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Customer service occupations","Number","75"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Process, plant and machine operatives","Number","173"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Transport and mobile machine drivers and operatives","Number","167"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Elementary trades and related occupations","Number","141"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Elementary administration and service occupations","Number","407"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty dressing, bathing or getting around inside the home","Great Extent","Other occupation/occupation not stated","Number","1242"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","All occupational groups","Number","6620"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Corporate managers and directors","Number","183"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Other managers and proprietors","Number","115"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Science, research, engineering and technology professionals","Number","148"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Health professionals","Number","112"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Teaching and educational professionals","Number","124"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Business, media and public service professionals","Number","161"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Science, engineering and technology associate professionals","Number","66"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Health and social care associate professionals","Number","63"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Protective service occupations","Number","29"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Culture, media and sports occupations","Number","100"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Business and public service associate professionals","Number","183"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Administrative occupations","Number","437"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Secretarial and related occupations","Number","117"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Skilled agricultural and related trades","Number","241"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Skilled metal, electrical and electronic trades","Number","133"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Skilled construction and building trades","Number","166"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Textiles, printing and other skilled trades","Number","181"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Caring personal service occupations","Number","303"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Leisure, travel and related personal service occupations","Number","147"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Sales occupations","Number","381"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Customer service occupations","Number","108"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Process, plant and machine operatives","Number","215"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Transport and mobile machine drivers and operatives","Number","180"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Elementary trades and related occupations","Number","156"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Elementary administration and service occupations","Number","555"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty going outside the home","Great Extent","Other occupation/occupation not stated","Number","2016"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","All occupational groups","Number","14655"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Corporate managers and directors","Number","372"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Other managers and proprietors","Number","228"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Science, research, engineering and technology professionals","Number","310"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Health professionals","Number","344"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Teaching and educational professionals","Number","306"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Business, media and public service professionals","Number","286"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Science, engineering and technology associate professionals","Number","178"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Health and social care associate professionals","Number","135"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Protective service occupations","Number","105"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Culture, media and sports occupations","Number","271"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Business and public service associate professionals","Number","391"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Administrative occupations","Number","824"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Secretarial and related occupations","Number","202"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Skilled agricultural and related trades","Number","473"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Skilled metal, electrical and electronic trades","Number","388"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Skilled construction and building trades","Number","526"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Textiles, printing and other skilled trades","Number","517"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Caring personal service occupations","Number","742"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Leisure, travel and related personal service occupations","Number","358"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Sales occupations","Number","986"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Customer service occupations","Number","191"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Process, plant and machine operatives","Number","623"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Transport and mobile machine drivers and operatives","Number","456"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Elementary trades and related occupations","Number","461"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Elementary administration and service occupations","Number","1401"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty working at a job or business or attending school or college","Great Extent","Other occupation/occupation not stated","Number","3581"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","All occupational groups","Number","13672"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Corporate managers and directors","Number","482"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Other managers and proprietors","Number","260"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Science, research, engineering and technology professionals","Number","362"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Health professionals","Number","341"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Teaching and educational professionals","Number","445"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Business, media and public service professionals","Number","435"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Science, engineering and technology associate professionals","Number","214"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Health and social care associate professionals","Number","155"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Protective service occupations","Number","128"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Culture, media and sports occupations","Number","229"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Business and public service associate professionals","Number","531"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Administrative occupations","Number","1210"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Secretarial and related occupations","Number","271"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Skilled agricultural and related trades","Number","451"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Skilled metal, electrical and electronic trades","Number","333"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Skilled construction and building trades","Number","386"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Textiles, printing and other skilled trades","Number","399"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Caring personal service occupations","Number","742"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Leisure, travel and related personal service occupations","Number","282"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Sales occupations","Number","863"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Customer service occupations","Number","230"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Process, plant and machine operatives","Number","433"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Transport and mobile machine drivers and operatives","Number","460"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Elementary trades and related occupations","Number","328"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Elementary administration and service occupations","Number","1107"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Difficulty participating in other activities","Great Extent","Other occupation/occupation not stated","Number","2595"
